#;Release;Date exact;Release source;Card;Set code;Number;Edition;Variant;Variant name;Set / expansion;Rarity;Artist;Known finishes;Finish evidence;Langs;EN;FR;DE;IT;ES;PT;NL;PL;RU;JA;KO;ZH-T;ZH-S;ID;TH;Cardmarket URL
1;1997-03-05;yes;https://bulbapedia.bulbagarden.net/wiki/Jungle_%28TCG%29;Snorlax;PJU;;—;base;;Pokémon Jungle;Holo Rare;;holo;confirmed;1;;;;;;;;;;X;;;;;;https://www.cardmarket.com/en/Pokemon/Products/Singles/Pokemon-Jungle/Snorlax
2;1997-12;yes;;Hungry Snorlax;UNP;;—;base;;Unnumbered Promos;Promo;;holo;confirmed;1;;;;;;;;;;X;;;;;;https://www.cardmarket.com/en/Pokemon/Products/Singles/Unnumbered-Promos/Hungry-Snorlax
3;1998-03-23;yes;;Snorlax;EXS;;—;base;;Expansion Sheet;Uncommon;Keita Takahashi;non-holo;confirmed;1;;;;;;;;;;X;;;;;;https://www.cardmarket.com/en/Pokemon/Products/Singles/Expansion-Sheet/Snorlax-EXS
4;1999-06-16;yes;;Snorlax;JU;11;1st Edition;V1;;Jungle;Holo Rare;Ken Sugimori;holo;confirmed;7;X;X;X;X;X;X;X;;;;;;;;;https://www.cardmarket.com/en/Pokemon/Products/Singles/Jungle/Snorlax-V1-JU11
5;1999-06-16;yes;;Snorlax;JU;11;Unlimited;V1;;Jungle;Holo Rare;Ken Sugimori;holo;confirmed;7;X;X;X;X;X;X;X;;;;;;;;;https://www.cardmarket.com/en/Pokemon/Products/Singles/Jungle/Snorlax-V1-JU11
6;1999-06-16;yes;;Snorlax;JU;27;1st Edition;V2;;Jungle;Rare;Ken Sugimori;non-holo;confirmed, marketplace-claimed;7;X;X;X;X;X;X;X;;;;;;;;;https://www.cardmarket.com/en/Pokemon/Products/Singles/Jungle/Snorlax-V2-JU27
7;1999-06-16;yes;;Snorlax;JU;27;Unlimited;V2;;Jungle;Rare;Ken Sugimori;non-holo;confirmed, marketplace-claimed;7;X;X;X;X;X;X;X;;;;;;;;;https://www.cardmarket.com/en/Pokemon/Products/Singles/Jungle/Snorlax-V2-JU27
8;1999-06-25;yes;https://bulbapedia.bulbagarden.net/wiki/Gym_Challenge_%28TCG%29;Rocket's Snorlax;G2;;—;base;;Challenge from the Darkness;Rare;;non-holo;marketplace-claimed;1;;;;;;;;;;X;;;;;;https://www.cardmarket.com/en/Pokemon/Products/Singles/Challenge-from-the-Darkness/Rockets-Snorlax-CFTD
9;2000-02-24;yes;;Snorlax;B2;30;Unlimited;base;;Base Set 2;Rare;Ken Sugimori;non-holo;confirmed;1;X;;;;;;;;;;;;;;;https://www.cardmarket.com/en/Pokemon/Products/Singles/Base-Set-2/Snorlax-B230
10;2000-08-14;yes;;Rocket's Snorlax;GH;33;1st Edition;base;;Gym Heroes;Rare;Shin-ichi Yoshida;non-holo;confirmed;1;X;;;;;;;;;;;;;;;https://www.cardmarket.com/en/Pokemon/Products/Singles/Gym-Heroes/Rockets-Snorlax-GH33
11;2000-08-14;yes;;Rocket's Snorlax;GH;33;Unlimited;base;;Gym Heroes;Rare;Shin-ichi Yoshida;non-holo;confirmed;1;X;;;;;;;;;;;;;;;https://www.cardmarket.com/en/Pokemon/Products/Singles/Gym-Heroes/Rockets-Snorlax-GH33
12;2002-05-24;yes;;Snorlax;LC;64;Unlimited;base;;Legendary Collection;Uncommon;Ken Sugimori;non-holo, reverse-holo;confirmed;1;X;;;;;;;;;;;;;;;https://www.cardmarket.com/en/Pokemon/Products/Singles/Legendary-Collection/Snorlax-LC64
13;2002-08;yes;;Snorlax;WP;49;—;base;;Wizards Black Star Promos;Promo;Craig Turvey;non-holo;confirmed;1;X;;;;;;;;;;;;;;;https://www.cardmarket.com/en/Pokemon/Products/Singles/Wizards-Black-Star-Promos/Snorlax-WP49
14;2002-10-04;yes;https://bulbapedia.bulbagarden.net/wiki/Skyridge_%28TCG%29;Snorlax;EC5;062;1st Edition;base;;Mysterious Mountains;Common;;non-holo;marketplace-claimed;1;;;;;;;;;;X;;;;;;https://www.cardmarket.com/en/Pokemon/Products/Singles/Mysterious-Mountains/Snorlax-EC5062
