#;Release;Date exact;Release source;Card;Set code;Number;Edition;Variant;Variant name;Set / expansion;Rarity;Artist;Known finishes;Finish evidence;Langs;EN;FR;DE;IT;ES;PT;NL;PL;RU;JA;KO;ZH-T;ZH-S;ID;TH;Cardmarket URL;Row ID;Coverage version;Coverage denominator;Row count delta;Dropped language relationships;Legacy scalar dates overwritten;Unsourced presented as reviewed exact;Migration disposition;Terminal state;Date provenance disposition;Release event IDs;Supported date languages;Needs-evidence date languages;Legacy row SHA-256;Reconciliation warning
1;1997-03-05;yes;https://bulbapedia.bulbagarden.net/wiki/Jungle_%28TCG%29;Snorlax;PJU;;—;base;;Pokémon Jungle;Holo Rare;;holo;marketplace-claimed;1;;;;;;;;;;X;;;;;;https://www.cardmarket.com/en/Pokemon/Products/Singles/Pokemon-Jungle/Snorlax;pju-nonumber-base-none;legacy-set-reconciliation-v1;203;0;0;0;0;lossless-projected;complete;newly-sourced;EVENT:a6eae0a49ffd0643;Japanese;;sha256:ed08e74ff2d9dbffce593bb89db2ea4ab50de268d20df7b52271bea2763b0c6f;
2;1997-12;yes;;Hungry Snorlax;UNP;;—;base;;Unnumbered Promos;Promo;;;pending;1;;;;;;;;;;X;;;;;;https://www.cardmarket.com/en/Pokemon/Products/Singles/Unnumbered-Promos/Hungry-Snorlax;unp-nonumber-base-none;legacy-set-reconciliation-v1;203;0;0;0;0;needs-evidence;needs-evidence;inherited-legacy-estimate-with-warning;;;Japanese;sha256:c465414bcb88f1d7985d6a15b827004f4e5c8eae265cadd19776ea646f97c5fc;Legacy scalar has no row-level source and is not a reviewed release event.
3;1998-03-23;yes;;Snorlax;EXS;;—;base;;Expansion Sheet;Uncommon;Keita Takahashi;non-holo;confirmed;1;;;;;;;;;;X;;;;;;https://www.cardmarket.com/en/Pokemon/Products/Singles/Expansion-Sheet/Snorlax-EXS;exs-nonumber-base-none;legacy-set-reconciliation-v1;203;0;0;0;0;needs-evidence;needs-evidence;inherited-legacy-estimate-with-warning;;;Japanese;sha256:ee6ae8f5273cecd3e1f14a50ed5779598071a7332c291f6df02e382db9ebc095;Legacy scalar has no row-level source and is not a reviewed release event.
4;1999-06-16;yes;;Snorlax;JU;11;1st Edition;V1;;Jungle;Holo Rare;Ken Sugimori;holo;confirmed, marketplace-claimed;7;X;X;X;X;X;X;X;;;;;;;;;https://www.cardmarket.com/en/Pokemon/Products/Singles/Jungle/Snorlax-V1-JU11;ju-11-v1-1e;legacy-set-reconciliation-v1;203;0;0;0;0;needs-evidence;needs-evidence;inherited-legacy-estimate-with-warning;;;English, French, German, Italian, Spanish, Portuguese, Dutch;sha256:39d422e43f316fc2c911aaa3be13b1df96ca098cc296861123698ae640e7eaea;Legacy scalar has no row-level source and is not a reviewed release event.
5;1999-06-16;yes;;Snorlax;JU;11;Unlimited;V1;;Jungle;Holo Rare;Ken Sugimori;holo;confirmed, marketplace-claimed;7;X;X;X;X;X;X;X;;;;;;;;;https://www.cardmarket.com/en/Pokemon/Products/Singles/Jungle/Snorlax-V1-JU11;ju-11-v1-unl;legacy-set-reconciliation-v1;203;0;0;0;0;needs-evidence;needs-evidence;inherited-legacy-estimate-with-warning;;;English, French, German, Italian, Spanish, Portuguese, Dutch;sha256:d9b5a16db178eeceb5c385886b2038bc27c8ca729d0f585847e163a0db1e9247;Legacy scalar has no row-level source and is not a reviewed release event.
6;1999-06-16;yes;;Snorlax;JU;27;1st Edition;V2;;Jungle;Rare;Ken Sugimori;non-holo;confirmed, marketplace-claimed;7;X;X;X;X;X;X;X;;;;;;;;;https://www.cardmarket.com/en/Pokemon/Products/Singles/Jungle/Snorlax-V2-JU27;ju-27-v2-1e;legacy-set-reconciliation-v1;203;0;0;0;0;needs-evidence;needs-evidence;inherited-legacy-estimate-with-warning;;;English, French, German, Italian, Spanish, Portuguese, Dutch;sha256:554696c16caa0940ca3ab5ffc1e40a8b1d3590580d62eefb33feae7b4ffdb081;Legacy scalar has no row-level source and is not a reviewed release event.
7;1999-06-16;yes;;Snorlax;JU;27;Unlimited;V2;;Jungle;Rare;Ken Sugimori;non-holo;confirmed, marketplace-claimed;7;X;X;X;X;X;X;X;;;;;;;;;https://www.cardmarket.com/en/Pokemon/Products/Singles/Jungle/Snorlax-V2-JU27;ju-27-v2-unl;legacy-set-reconciliation-v1;203;0;0;0;0;needs-evidence;needs-evidence;inherited-legacy-estimate-with-warning;;;English, French, German, Italian, Spanish, Portuguese, Dutch;sha256:578d1e2dd3ebe04cd4bbe234b9b4de852e8cb14c3400c9526b4b20846e46fceb;Legacy scalar has no row-level source and is not a reviewed release event.
8;1999-06-25;yes;https://bulbapedia.bulbagarden.net/wiki/Gym_Challenge_%28TCG%29;Rocket's Snorlax;G2;;—;base;;Challenge from the Darkness;Rare;;non-holo;marketplace-claimed;1;;;;;;;;;;X;;;;;;https://www.cardmarket.com/en/Pokemon/Products/Singles/Challenge-from-the-Darkness/Rockets-Snorlax-CFTD;g2-nonumber-base-none;legacy-set-reconciliation-v1;203;0;0;0;0;lossless-projected;complete;newly-sourced;EVENT:00ce8e3801512b09;Japanese;;sha256:19522fdef06e8a810292533aa573d0143bdab1db3b5536f2855d2ab0138ed242;
9;2000-02-24;yes;;Snorlax;B2;30;Unlimited;base;;Base Set 2;Rare;Ken Sugimori;non-holo;confirmed;1;X;;;;;;;;;;;;;;;https://www.cardmarket.com/en/Pokemon/Products/Singles/Base-Set-2/Snorlax-B230;b2-30-base-unl;legacy-set-reconciliation-v1;203;0;0;0;0;needs-evidence;needs-evidence;inherited-legacy-estimate-with-warning;;;English;sha256:9bc5e2a23d39a96b6f7ebabe3311b5c0017b9ab3fb0543b1349100a3eb733b2c;Legacy scalar has no row-level source and is not a reviewed release event.
10;2000-08-14;yes;;Rocket's Snorlax;GH;33;1st Edition;base;;Gym Heroes;Rare;Shin-ichi Yoshida;non-holo;confirmed;1;X;;;;;;;;;;;;;;;https://www.cardmarket.com/en/Pokemon/Products/Singles/Gym-Heroes/Rockets-Snorlax-GH33;gh-33-base-1e;legacy-set-reconciliation-v1;203;0;0;0;0;needs-evidence;needs-evidence;inherited-legacy-estimate-with-warning;;;English;sha256:b74ffe63396db6f0dedcd961b872ab1b0be977c93e51b2cb8352e841c44f4527;Legacy scalar has no row-level source and is not a reviewed release event.
