"unitId","cardName","setCode","number","variant","language","setName","rarity","cmUrl","manualReason","verdict","yourSource"
"U0097","Snorlax ex","xPRE","076","V1","French","Prismatic Evolutions: Additionals","Promo","https://www.cardmarket.com/en/Pokemon/Products/Singles/Prismatic-Evolutions-Additionals/Snorlax-ex-V1-xPRE076","Cardmarket ""Additionals"" grouping - not a publisher product, absent from every card database","",""
"U0098","Snorlax ex","xPRE","076","V1","German","Prismatic Evolutions: Additionals","Promo","https://www.cardmarket.com/en/Pokemon/Products/Singles/Prismatic-Evolutions-Additionals/Snorlax-ex-V1-xPRE076","Cardmarket ""Additionals"" grouping - not a publisher product, absent from every card database","",""
"U0099","Snorlax ex","xPRE","076","V1","Spanish","Prismatic Evolutions: Additionals","Promo","https://www.cardmarket.com/en/Pokemon/Products/Singles/Prismatic-Evolutions-Additionals/Snorlax-ex-V1-xPRE076","Cardmarket ""Additionals"" grouping - not a publisher product, absent from every card database","",""
"U0100","Snorlax ex","xPRE","076","V1","Italian","Prismatic Evolutions: Additionals","Promo","https://www.cardmarket.com/en/Pokemon/Products/Singles/Prismatic-Evolutions-Additionals/Snorlax-ex-V1-xPRE076","Cardmarket ""Additionals"" grouping - not a publisher product, absent from every card database","",""
"U0101","Snorlax ex","xPRE","076","V1","Portuguese","Prismatic Evolutions: Additionals","Promo","https://www.cardmarket.com/en/Pokemon/Products/Singles/Prismatic-Evolutions-Additionals/Snorlax-ex-V1-xPRE076","Cardmarket ""Additionals"" grouping - not a publisher product, absent from every card database","",""
"U0187","Hop's Snorlax","PPS8 JTG","JTG 117","V2","English","Play! Pokémon Prize Pack Series Eight","Prize Pack Series","https://www.cardmarket.com/en/Pokemon/Products/Singles/Play-Pokemon-Prize-Pack-Series-Eight/Hops-Snorlax-V2-PPS8JTG-117","Play! Pokemon Prize Pack - the card is documented, but no source records distribution languages","",""
"U0188","Hop's Snorlax","PPS8 JTG","JTG 117","V2","French","Play! Pokémon Prize Pack Series Eight","Prize Pack Series","https://www.cardmarket.com/en/Pokemon/Products/Singles/Play-Pokemon-Prize-Pack-Series-Eight/Hops-Snorlax-V2-PPS8JTG-117","Play! Pokemon Prize Pack - the card is documented, but no source records distribution languages","",""
"U0189","Hop's Snorlax","PPS8 JTG","JTG 117","V2","German","Play! Pokémon Prize Pack Series Eight","Prize Pack Series","https://www.cardmarket.com/en/Pokemon/Products/Singles/Play-Pokemon-Prize-Pack-Series-Eight/Hops-Snorlax-V2-PPS8JTG-117","Play! Pokemon Prize Pack - the card is documented, but no source records distribution languages","",""
"U0190","Hop's Snorlax","PPS8 JTG","JTG 117","V2","Spanish","Play! Pokémon Prize Pack Series Eight","Prize Pack Series","https://www.cardmarket.com/en/Pokemon/Products/Singles/Play-Pokemon-Prize-Pack-Series-Eight/Hops-Snorlax-V2-PPS8JTG-117","Play! Pokemon Prize Pack - the card is documented, but no source records distribution languages","",""
"U0191","Hop's Snorlax","PPS8 JTG","JTG 117","V2","Italian","Play! Pokémon Prize Pack Series Eight","Prize Pack Series","https://www.cardmarket.com/en/Pokemon/Products/Singles/Play-Pokemon-Prize-Pack-Series-Eight/Hops-Snorlax-V2-PPS8JTG-117","Play! Pokemon Prize Pack - the card is documented, but no source records distribution languages","",""
"U0214","Hop's Snorlax","PPS8 JTG","JTG 117","V1","English","Play! Pokémon Prize Pack Series Eight","Prize Pack Series","https://www.cardmarket.com/en/Pokemon/Products/Singles/Play-Pokemon-Prize-Pack-Series-Eight/Hops-Snorlax-V1-PPS8JTG-117","Play! Pokemon Prize Pack - the card is documented, but no source records distribution languages","",""
"U0215","Hop's Snorlax","PPS8 JTG","JTG 117","V1","French","Play! Pokémon Prize Pack Series Eight","Prize Pack Series","https://www.cardmarket.com/en/Pokemon/Products/Singles/Play-Pokemon-Prize-Pack-Series-Eight/Hops-Snorlax-V1-PPS8JTG-117","Play! Pokemon Prize Pack - the card is documented, but no source records distribution languages","",""
"U0216","Hop's Snorlax","PPS8 JTG","JTG 117","V1","German","Play! Pokémon Prize Pack Series Eight","Prize Pack Series","https://www.cardmarket.com/en/Pokemon/Products/Singles/Play-Pokemon-Prize-Pack-Series-Eight/Hops-Snorlax-V1-PPS8JTG-117","Play! Pokemon Prize Pack - the card is documented, but no source records distribution languages","",""
"U0217","Hop's Snorlax","PPS8 JTG","JTG 117","V1","Spanish","Play! Pokémon Prize Pack Series Eight","Prize Pack Series","https://www.cardmarket.com/en/Pokemon/Products/Singles/Play-Pokemon-Prize-Pack-Series-Eight/Hops-Snorlax-V1-PPS8JTG-117","Play! Pokemon Prize Pack - the card is documented, but no source records distribution languages","",""
"U0218","Hop's Snorlax","PPS8 JTG","JTG 117","V1","Italian","Play! Pokémon Prize Pack Series Eight","Prize Pack Series","https://www.cardmarket.com/en/Pokemon/Products/Singles/Play-Pokemon-Prize-Pack-Series-Eight/Hops-Snorlax-V1-PPS8JTG-117","Play! Pokemon Prize Pack - the card is documented, but no source records distribution languages","",""
"U0311","Snorlax ex","xPRE","076","V2","French","Prismatic Evolutions: Additionals","Oversized","https://www.cardmarket.com/en/Pokemon/Products/Singles/Prismatic-Evolutions-Additionals/Snorlax-ex-V2-xPRE076","Cardmarket ""Additionals"" grouping - not a publisher product, absent from every card database","",""
"U0312","Snorlax ex","xPRE","076","V2","German","Prismatic Evolutions: Additionals","Oversized","https://www.cardmarket.com/en/Pokemon/Products/Singles/Prismatic-Evolutions-Additionals/Snorlax-ex-V2-xPRE076","Cardmarket ""Additionals"" grouping - not a publisher product, absent from every card database","",""
"U0313","Snorlax ex","xPRE","076","V2","Spanish","Prismatic Evolutions: Additionals","Oversized","https://www.cardmarket.com/en/Pokemon/Products/Singles/Prismatic-Evolutions-Additionals/Snorlax-ex-V2-xPRE076","Cardmarket ""Additionals"" grouping - not a publisher product, absent from every card database","",""
"U0314","Snorlax ex","xPRE","076","V2","Italian","Prismatic Evolutions: Additionals","Oversized","https://www.cardmarket.com/en/Pokemon/Products/Singles/Prismatic-Evolutions-Additionals/Snorlax-ex-V2-xPRE076","Cardmarket ""Additionals"" grouping - not a publisher product, absent from every card database","",""
"U0315","Snorlax ex","xPRE","076","V2","Portuguese","Prismatic Evolutions: Additionals","Oversized","https://www.cardmarket.com/en/Pokemon/Products/Singles/Prismatic-Evolutions-Additionals/Snorlax-ex-V2-xPRE076","Cardmarket ""Additionals"" grouping - not a publisher product, absent from every card database","",""
